DATE,DJIA
2014-10-07,16719.39
2014-10-08,16994.22
2014-10-09,16659.25
2014-10-10,16544.10
2014-10-13,16321.07
2014-10-14,16315.19
2014-10-15,16141.74
2014-10-16,16117.24
2014-10-17,16380.41
2014-10-20,16399.67
2014-10-21,16614.81
2014-10-22,16461.32
2014-10-23,16677.90
2014-10-24,16805.41
2014-10-27,16817.94
2014-10-28,17005.75
2014-10-29,16974.31
2014-10-30,17195.42
2014-10-31,17390.52
2014-11-03,17366.24
2014-11-04,17383.84
2014-11-05,17484.53
2014-11-06,17554.47
2014-11-07,17573.93
2014-11-10,17613.74
2014-11-11,17614.90
2014-11-12,17612.20
2014-11-13,17652.79
2014-11-14,17634.74
2014-11-17,17647.75
2014-11-18,17687.82
2014-11-19,17685.73
2014-11-20,17719.00
2014-11-21,17810.06
2014-11-24,17817.90
2014-11-25,17814.94
2014-11-26,17827.75
2014-11-27,.
2014-11-28,17828.24
2014-12-01,17776.80
2014-12-02,17879.55
2014-12-03,17912.62
2014-12-04,17900.10
2014-12-05,17958.79
2014-12-08,17852.48
2014-12-09,17801.20
2014-12-10,17533.15
2014-12-11,17596.34
2014-12-12,17280.83
2014-12-15,17180.84
2014-12-16,17068.87
2014-12-17,17356.87
2014-12-18,17778.15
2014-12-19,17804.80
2014-12-22,17959.44
2014-12-23,18024.17
2014-12-24,18030.21
2014-12-25,.
2014-12-26,18053.71
2014-12-29,18038.23
2014-12-30,17983.07
2014-12-31,17823.07
2015-01-01,.
2015-01-02,17832.99
2015-01-05,17501.65
2015-01-06,17371.64
2015-01-07,17584.52
2015-01-08,17907.87
2015-01-09,17737.37
2015-01-12,17640.84
2015-01-13,17613.68
2015-01-14,17427.09
2015-01-15,17320.71
2015-01-16,17511.57
2015-01-19,.
2015-01-20,17515.23
2015-01-21,17554.28
2015-01-22,17813.98
2015-01-23,17672.60
2015-01-26,17678.70
2015-01-27,17387.21
2015-01-28,17191.37
2015-01-29,17416.85
2015-01-30,17164.95
2015-02-02,17361.04
2015-02-03,17666.40
2015-02-04,17673.02
2015-02-05,17884.88
2015-02-06,17824.29
2015-02-09,17729.21
2015-02-10,17868.76
2015-02-11,17862.14
2015-02-12,17972.38
2015-02-13,18019.35
2015-02-16,.
2015-02-17,18047.58
2015-02-18,18029.85
2015-02-19,17985.77
2015-02-20,18140.44
2015-02-23,18116.84
2015-02-24,18209.19
2015-02-25,18224.57
2015-02-26,18214.42
2015-02-27,18132.70
2015-03-02,18288.63
2015-03-03,18203.37
2015-03-04,18096.90
2015-03-05,18135.72
2015-03-06,17856.78
2015-03-09,17995.72
2015-03-10,17662.94
2015-03-11,17635.39
2015-03-12,17895.22
2015-03-13,17749.31
2015-03-16,17977.42
2015-03-17,17849.08
2015-03-18,18076.19
2015-03-19,17959.03
2015-03-20,18127.65
2015-03-23,18116.04
2015-03-24,18011.14
2015-03-25,17718.54
2015-03-26,17678.23
2015-03-27,17712.66
2015-03-30,17976.31
2015-03-31,17776.12
2015-04-01,17698.18
2015-04-02,17763.24
2015-04-03,.
2015-04-06,17880.85
2015-04-07,17875.42
2015-04-08,17902.51
2015-04-09,17958.73
2015-04-10,18057.65
2015-04-13,17977.04
2015-04-14,18036.70
2015-04-15,18112.61
2015-04-16,18105.77
2015-04-17,17826.30
2015-04-20,18034.93
2015-04-21,17949.59
2015-04-22,18038.27
2015-04-23,18058.69
2015-04-24,18080.14
2015-04-27,18037.97
2015-04-28,18110.14
2015-04-29,18035.53
2015-04-30,17840.52
2015-05-01,18024.06
2015-05-04,18070.40
2015-05-05,17928.20
2015-05-06,17841.98
2015-05-07,17924.06
2015-05-08,18191.11
2015-05-11,18105.17
2015-05-12,18068.23
2015-05-13,18060.49
2015-05-14,18252.24
2015-05-15,18272.56
2015-05-18,18298.88
2015-05-19,18312.39
2015-05-20,18285.40
2015-05-21,18285.74
2015-05-22,18232.02
2015-05-25,.
2015-05-26,18041.54
2015-05-27,18162.99
2015-05-28,18126.12
2015-05-29,18010.68
2015-06-01,18040.37
2015-06-02,18011.94
2015-06-03,18076.27
2015-06-04,17905.58
2015-06-05,17849.46
2015-06-08,17766.55
2015-06-09,17764.04
2015-06-10,18000.40
2015-06-11,18039.37
2015-06-12,17898.84
2015-06-15,17791.17
2015-06-16,17904.48
2015-06-17,17935.74
2015-06-18,18115.84
2015-06-19,18015.95
2015-06-22,18119.78
2015-06-23,18144.07
2015-06-24,17966.07
2015-06-25,17890.36
2015-06-26,17946.68
2015-06-29,17596.35
2015-06-30,17619.51
2015-07-01,17757.91
2015-07-02,17730.11
2015-07-03,.
2015-07-06,17683.58
2015-07-07,17776.91
2015-07-08,17515.42
2015-07-09,17548.62
2015-07-10,17760.41
2015-07-13,17977.68
2015-07-14,18053.58
2015-07-15,18050.17
2015-07-16,18120.25
2015-07-17,18086.45
2015-07-20,18100.41
2015-07-21,17919.29
2015-07-22,17851.04
2015-07-23,17731.92
2015-07-24,17568.53
2015-07-27,17440.59
2015-07-28,17630.27
2015-07-29,17751.39
2015-07-30,17745.98
2015-07-31,17689.86
2015-08-03,17598.20
2015-08-04,17550.69
2015-08-05,17540.47
2015-08-06,17419.75
2015-08-07,17373.38
2015-08-10,17615.17
2015-08-11,17402.84
2015-08-12,17402.51
2015-08-13,17408.25
2015-08-14,17477.40
2015-08-17,17545.18
2015-08-18,17511.34
2015-08-19,17348.73
2015-08-20,16990.69
2015-08-21,16459.75
2015-08-24,15871.35
2015-08-25,15666.44
2015-08-26,16285.51
2015-08-27,16654.77
2015-08-28,16643.01
2015-08-31,16528.03
2015-09-01,16058.35
2015-09-02,16351.38
2015-09-03,16374.76
2015-09-04,16102.38
2015-09-07,.
2015-09-08,16492.68
2015-09-09,16253.57
2015-09-10,16330.40
2015-09-11,16433.09
2015-09-14,16370.96
2015-09-15,16599.85
2015-09-16,16739.95
2015-09-17,16674.74
2015-09-18,16384.58
2015-09-21,16510.19
2015-09-22,16330.47
2015-09-23,16279.89
2015-09-24,16201.32
2015-09-25,16314.67
2015-09-28,16001.89
2015-09-29,16049.13
2015-09-30,16284.70
2015-10-01,16272.01
2015-10-02,16472.37
2015-10-05,16776.43
2015-10-06,16790.19
2015-10-07,16912.29
2015-10-08,17050.75
2015-10-09,17084.49
2015-10-12,17131.86
2015-10-13,17081.89
2015-10-14,16924.75
2015-10-15,17141.75
2015-10-16,17215.97
2015-10-19,17230.54
2015-10-20,17217.11
2015-10-21,17168.61
2015-10-22,17489.16
2015-10-23,17646.70
2015-10-26,17623.05
2015-10-27,17581.43
2015-10-28,17779.52
2015-10-29,17755.80
2015-10-30,17663.54
2015-11-02,17828.76
2015-11-03,17918.15
2015-11-04,17867.58
2015-11-05,17863.43
2015-11-06,17910.33
2015-11-09,17730.48
2015-11-10,17758.21
2015-11-11,17702.22
2015-11-12,17448.07
2015-11-13,17245.24
2015-11-16,17483.01
2015-11-17,17489.50
2015-11-18,17737.16
2015-11-19,17732.75
2015-11-20,17823.81
2015-11-23,17792.68
2015-11-24,17812.19
2015-11-25,17813.39
2015-11-26,.
2015-11-27,17798.49
2015-11-30,17719.92
2015-12-01,17888.35
2015-12-02,17729.68
2015-12-03,17477.67
2015-12-04,17847.63
2015-12-07,17730.51
2015-12-08,17568.00
2015-12-09,17492.30
2015-12-10,17574.75
2015-12-11,17265.21
2015-12-14,17368.50
2015-12-15,17524.91
2015-12-16,17749.09
2015-12-17,17495.84
2015-12-18,17128.55
2015-12-21,17251.62
2015-12-22,17417.27
2015-12-23,17602.61
2015-12-24,17552.17
2015-12-25,.
2015-12-28,17528.27
2015-12-29,17720.98
2015-12-30,17603.87
2015-12-31,17425.03
2016-01-01,.
2016-01-04,17148.94
2016-01-05,17158.66
2016-01-06,16906.51
2016-01-07,16514.10
2016-01-08,16346.45
2016-01-11,16398.57
2016-01-12,16516.22
2016-01-13,16151.41
2016-01-14,16379.05
2016-01-15,15988.08
2016-01-18,.
2016-01-19,16016.02
2016-01-20,15766.74
2016-01-21,15882.68
2016-01-22,16093.51
2016-01-25,15885.22
2016-01-26,16167.23
2016-01-27,15944.46
2016-01-28,16069.64
2016-01-29,16466.30
2016-02-01,16449.18
2016-02-02,16153.54
2016-02-03,16336.66
2016-02-04,16416.58
2016-02-05,16204.97
2016-02-08,16027.05
2016-02-09,16014.38
2016-02-10,15914.74
2016-02-11,15660.18
2016-02-12,15973.84
2016-02-15,.
2016-02-16,16196.41
2016-02-17,16453.83
2016-02-18,16413.43
2016-02-19,16391.99
2016-02-22,16620.66
2016-02-23,16431.78
2016-02-24,16484.99
2016-02-25,16697.29
2016-02-26,16639.97
2016-02-29,16516.50
2016-03-01,16865.08
2016-03-02,16899.32
2016-03-03,16943.90
2016-03-04,17006.77
2016-03-07,17073.95
2016-03-08,16964.10
2016-03-09,17000.36
2016-03-10,16995.13
2016-03-11,17213.31
2016-03-14,17229.13
2016-03-15,17251.53
2016-03-16,17325.76
2016-03-17,17481.49
2016-03-18,17602.30
2016-03-21,17623.87
2016-03-22,17582.57
2016-03-23,17502.59
2016-03-24,17515.73
2016-03-25,.
2016-03-28,17535.39
2016-03-29,17633.11
2016-03-30,17716.66
2016-03-31,17685.09
2016-04-01,17792.75
2016-04-04,17737.00
2016-04-05,17603.32
2016-04-06,17716.05
2016-04-07,17541.96
2016-04-08,17576.96
2016-04-11,17556.41
2016-04-12,17721.25
2016-04-13,17908.28
2016-04-14,17926.43
2016-04-15,17897.46
2016-04-18,18004.16
2016-04-19,18053.60
2016-04-20,18096.27
2016-04-21,17982.52
2016-04-22,18003.75
2016-04-25,17977.24
2016-04-26,17990.32
2016-04-27,18041.55
2016-04-28,17830.76
2016-04-29,17773.64
2016-05-02,17891.16
2016-05-03,17750.91
2016-05-04,17651.26
2016-05-05,17660.71
2016-05-06,17740.63
2016-05-09,17705.91
2016-05-10,17928.35
2016-05-11,17711.12
2016-05-12,17720.50
2016-05-13,17535.32
2016-05-16,17710.71
2016-05-17,17529.98
2016-05-18,17526.62
2016-05-19,17435.40
2016-05-20,17500.94
2016-05-23,17492.93
2016-05-24,17706.05
2016-05-25,17851.51
2016-05-26,17828.29
2016-05-27,17873.22
2016-05-30,.
2016-05-31,17787.20
2016-06-01,17789.67
2016-06-02,17838.56
2016-06-03,17807.06
2016-06-06,17920.33
2016-06-07,17938.28
2016-06-08,18005.05
2016-06-09,17985.19
2016-06-10,17865.34
2016-06-13,17732.48
2016-06-14,17674.82
2016-06-15,17640.17
2016-06-16,17733.10
2016-06-17,17675.16
2016-06-20,17804.87
2016-06-21,17829.73
2016-06-22,17780.83
2016-06-23,18011.07
2016-06-24,17400.75
2016-06-27,17140.24
2016-06-28,17409.72
2016-06-29,17694.68
2016-06-30,17929.99
2016-07-01,17949.37
2016-07-04,.
2016-07-05,17840.62
2016-07-06,17918.62
2016-07-07,17895.88
2016-07-08,18146.74
2016-07-11,18226.93
2016-07-12,18347.67
2016-07-13,18372.12
2016-07-14,18506.41
2016-07-15,18516.55
2016-07-18,18533.05
2016-07-19,18559.01
2016-07-20,18595.03
2016-07-21,18517.23
2016-07-22,18570.85
2016-07-25,18493.06
2016-07-26,18473.75
2016-07-27,18472.17
2016-07-28,18456.35
2016-07-29,18432.24
2016-08-01,18404.51
2016-08-02,18313.77
2016-08-03,18355.00
2016-08-04,18352.05
2016-08-05,18543.53
2016-08-08,18529.29
2016-08-09,18533.05
2016-08-10,18495.66
2016-08-11,18613.52
2016-08-12,18576.47
2016-08-15,18636.05
2016-08-16,18552.02
2016-08-17,18573.94
2016-08-18,18597.70
2016-08-19,18552.57
2016-08-22,18529.42
2016-08-23,18547.30
2016-08-24,18481.48
2016-08-25,18448.41
2016-08-26,18395.40
2016-08-29,18502.99
2016-08-30,18454.30
2016-08-31,18400.88
2016-09-01,18419.30
2016-09-02,18491.96
2016-09-05,.
2016-09-06,18538.12
2016-09-07,18526.14
2016-09-08,18479.91
2016-09-09,18085.45
2016-09-12,18325.07
2016-09-13,18066.75
2016-09-14,18034.77
2016-09-15,18212.48
2016-09-16,18123.80
2016-09-19,18120.17
2016-09-20,18129.96
2016-09-21,18293.70
2016-09-22,18392.46
2016-09-23,18261.45
2016-09-26,18094.83
2016-09-27,18228.30
2016-09-28,18339.24
2016-09-29,18143.45
2016-09-30,18308.15
2016-10-03,18253.85
2016-10-04,18168.45
2016-10-05,18281.03
2016-10-06,18268.50
2016-10-07,18240.49
2016-10-10,18329.04
2016-10-11,18128.66
2016-10-12,18144.20
2016-10-13,18098.94
2016-10-14,18138.38
2016-10-17,18086.40
2016-10-18,18161.94
2016-10-19,18202.62
2016-10-20,18162.35
2016-10-21,18145.71
2016-10-24,18223.03
2016-10-25,18169.27
2016-10-26,18199.33
2016-10-27,18169.68
2016-10-28,18161.19
2016-10-31,18142.42
2016-11-01,18037.10
2016-11-02,17959.64
2016-11-03,17930.67
2016-11-04,17888.28
2016-11-07,18259.60
2016-11-08,18332.74
2016-11-09,18589.69
2016-11-10,18807.88
2016-11-11,18847.66
2016-11-14,18868.69
2016-11-15,18923.06
2016-11-16,18868.14
2016-11-17,18903.82
2016-11-18,18867.93
2016-11-21,18956.69
2016-11-22,19023.87
2016-11-23,19083.18
2016-11-24,.
2016-11-25,19152.14
2016-11-28,19097.90
2016-11-29,19121.60
2016-11-30,19123.58
2016-12-01,19191.93
2016-12-02,19170.42
2016-12-05,19216.24
2016-12-06,19251.78
2016-12-07,19549.62
2016-12-08,19614.81
2016-12-09,19756.85
2016-12-12,19796.43
2016-12-13,19911.21
2016-12-14,19792.53
2016-12-15,19852.24
2016-12-16,19843.41
2016-12-19,19883.06
2016-12-20,19974.62
2016-12-21,19941.96
2016-12-22,19918.88
2016-12-23,19933.81
2016-12-26,.
2016-12-27,19945.04
2016-12-28,19833.68
2016-12-29,19819.78
2016-12-30,19762.60
2017-01-02,.
2017-01-03,19881.76
2017-01-04,19942.16
2017-01-05,19899.29
2017-01-06,19963.80
2017-01-09,19887.38
2017-01-10,19855.53
2017-01-11,19954.28
2017-01-12,19891.00
2017-01-13,19885.73
2017-01-16,.
2017-01-17,19826.77
2017-01-18,19804.72
2017-01-19,19732.40
2017-01-20,19827.25
2017-01-23,19799.85
2017-01-24,19912.71
2017-01-25,20068.51
2017-01-26,20100.91
2017-01-27,20093.78
2017-01-30,19971.13
2017-01-31,19864.09
2017-02-01,19890.94
2017-02-02,19884.91
2017-02-03,20071.46
2017-02-06,20052.42
2017-02-07,20090.29
2017-02-08,20054.34
2017-02-09,20172.40
2017-02-10,20269.37
2017-02-13,20412.16
2017-02-14,20504.41
2017-02-15,20611.86
2017-02-16,20619.77
2017-02-17,20624.05
2017-02-20,.
2017-02-21,20743.00
2017-02-22,20775.60
2017-02-23,20810.32
2017-02-24,20821.76
2017-02-27,20837.44
2017-02-28,20812.24
2017-03-01,21115.55
2017-03-02,21002.97
2017-03-03,21005.71
2017-03-06,20954.34
2017-03-07,20924.76
2017-03-08,20855.73
2017-03-09,20858.19
2017-03-10,20902.98
2017-03-13,20881.48
2017-03-14,20837.37
2017-03-15,20950.10
2017-03-16,20934.55
2017-03-17,20914.62
2017-03-20,20905.86
2017-03-21,20668.01
2017-03-22,20661.30
2017-03-23,20656.58
2017-03-24,20596.72
2017-03-27,20550.98
2017-03-28,20701.50
2017-03-29,20659.32
2017-03-30,20728.49
2017-03-31,20663.22
2017-04-03,20650.21
2017-04-04,20689.24
2017-04-05,20648.15
2017-04-06,20662.95
2017-04-07,20656.10
2017-04-10,20658.02
2017-04-11,20651.30
2017-04-12,20591.86
2017-04-13,20453.25
2017-04-14,.
2017-04-17,20636.92
2017-04-18,20523.28
2017-04-19,20404.49
2017-04-20,20578.71
2017-04-21,20547.76
2017-04-24,20763.89
2017-04-25,20996.12
2017-04-26,20975.09
2017-04-27,20981.33
2017-04-28,20940.51
2017-05-01,20913.46
2017-05-02,20949.89
2017-05-03,20957.90
2017-05-04,20951.47
2017-05-05,21006.94
2017-05-08,21012.28
2017-05-09,20975.78
2017-05-10,20943.11
2017-05-11,20919.42
2017-05-12,20896.61
2017-05-15,20981.94
2017-05-16,20979.75
2017-05-17,20606.93
2017-05-18,20663.02
2017-05-19,20804.84
2017-05-22,20894.83
2017-05-23,20937.91
2017-05-24,21012.42
2017-05-25,21082.95
2017-05-26,21080.28
2017-05-29,.
2017-05-30,21029.47
2017-05-31,21008.65
2017-06-01,21144.18
2017-06-02,21206.29
2017-06-05,21184.04
2017-06-06,21136.23
2017-06-07,21173.69
2017-06-08,21182.53
2017-06-09,21271.97
2017-06-12,21235.67
2017-06-13,21328.47
2017-06-14,21374.56
2017-06-15,21359.90
2017-06-16,21384.28
2017-06-19,21528.99
2017-06-20,21467.14
2017-06-21,21410.03
2017-06-22,21397.29
2017-06-23,21394.76
2017-06-26,21409.55
2017-06-27,21310.66
2017-06-28,21454.61
2017-06-29,21287.03
2017-06-30,21349.63
2017-07-03,21479.27
2017-07-04,.
2017-07-05,21478.17
2017-07-06,21320.04
2017-07-07,21414.34
2017-07-10,21408.52
2017-07-11,21409.07
2017-07-12,21532.14
2017-07-13,21553.09
2017-07-14,21637.74
2017-07-17,21629.72
2017-07-18,21574.73
2017-07-19,21640.75
2017-07-20,21611.78
2017-07-21,21580.07
2017-07-24,21513.17
2017-07-25,21613.43
2017-07-26,21711.01
2017-07-27,21796.55
2017-07-28,21830.31
2017-07-31,21891.12
2017-08-01,21963.92
2017-08-02,22016.24
2017-08-03,22026.10
2017-08-04,22092.81
2017-08-07,22118.42
2017-08-08,22085.34
2017-08-09,22048.70
2017-08-10,21844.01
2017-08-11,21858.32
2017-08-14,21993.71
2017-08-15,21998.99
2017-08-16,22024.87
2017-08-17,21750.73
2017-08-18,21674.51
2017-08-21,21703.75
2017-08-22,21899.89
2017-08-23,21812.09
2017-08-24,21783.40
2017-08-25,21813.67
2017-08-28,21808.40
2017-08-29,21865.37
2017-08-30,21892.43
2017-08-31,21948.10
2017-09-01,21987.56
2017-09-04,.
2017-09-05,21753.31
2017-09-06,21807.64
2017-09-07,21784.78
2017-09-08,21797.79
2017-09-11,22057.37
2017-09-12,22118.86
2017-09-13,22158.18
2017-09-14,22203.48
2017-09-15,22268.34
2017-09-18,22331.35
2017-09-19,22370.80
2017-09-20,22412.59
2017-09-21,22359.23
2017-09-22,22349.59
2017-09-25,22296.09
2017-09-26,22284.32
2017-09-27,22340.71
2017-09-28,22381.20
2017-09-29,22405.09
2017-10-02,22557.60
2017-10-03,22641.67
2017-10-04,22661.64
2017-10-05,22775.39
2017-10-06,22773.67
2017-10-09,22761.07
2017-10-10,22830.68
2017-10-11,22872.89
2017-10-12,22841.01
2017-10-13,22871.72
2017-10-16,22956.96
2017-10-17,22997.44
2017-10-18,23157.60
2017-10-19,23163.04
2017-10-20,23328.63
2017-10-23,23273.96
2017-10-24,23441.76
2017-10-25,23329.46
2017-10-26,23400.86
2017-10-27,23434.19
2017-10-30,23348.74
2017-10-31,23377.24
2017-11-01,23435.01
2017-11-02,23516.26
2017-11-03,23539.19
2017-11-06,23548.42
2017-11-07,23557.23
2017-11-08,23563.36
2017-11-09,23461.94
2017-11-10,23422.21
2017-11-13,23439.70
2017-11-14,23409.47
2017-11-15,23271.28
2017-11-16,23458.36
2017-11-17,23358.24
2017-11-20,23430.33
2017-11-21,23590.83
2017-11-22,23526.18
2017-11-23,.
2017-11-24,23557.99
2017-11-27,23580.78
2017-11-28,23836.71
2017-11-29,23940.68
2017-11-30,24272.35
2017-12-01,24231.59
2017-12-04,24290.05
2017-12-05,24180.64
2017-12-06,24140.91
2017-12-07,24211.48
2017-12-08,24329.16
2017-12-11,24386.03
2017-12-12,24504.80
2017-12-13,24585.43
2017-12-14,24508.66
2017-12-15,24651.74
2017-12-18,24792.20
2017-12-19,24754.75
2017-12-20,24726.65
2017-12-21,24782.29
2017-12-22,24754.06
2017-12-25,.
2017-12-26,24746.21
2017-12-27,24774.30
2017-12-28,24837.51
2017-12-29,24719.22
2018-01-01,.
2018-01-02,24824.01
2018-01-03,24922.68
2018-01-04,25075.13
2018-01-05,25295.87
2018-01-08,25283.00
2018-01-09,25385.80
2018-01-10,25369.13
2018-01-11,25574.73
2018-01-12,25803.19
2018-01-15,.
2018-01-16,25792.86
2018-01-17,26115.65
2018-01-18,26017.81
2018-01-19,26071.72
2018-01-22,26214.60
2018-01-23,26210.81
2018-01-24,26252.12
2018-01-25,26392.79
2018-01-26,26616.71
2018-01-29,26439.48
2018-01-30,26076.89
2018-01-31,26149.39
2018-02-01,26186.71
2018-02-02,25520.96
2018-02-05,24345.75
2018-02-06,24912.77
2018-02-07,24893.35
2018-02-08,23860.46
2018-02-09,24190.90
2018-02-12,24601.27
2018-02-13,24640.45
2018-02-14,24893.49
2018-02-15,25200.37
2018-02-16,25219.38
2018-02-19,.
2018-02-20,24964.75
2018-02-21,24797.78
2018-02-22,24962.48
2018-02-23,25309.99
2018-02-26,25709.27
2018-02-27,25410.03
2018-02-28,25029.20
2018-03-01,24608.98
2018-03-02,24538.06
2018-03-05,24874.76
2018-03-06,24884.12
2018-03-07,24801.36
2018-03-08,24895.21
2018-03-09,25335.74
2018-03-12,25178.61
2018-03-13,25007.03
2018-03-14,24758.12
2018-03-15,24873.66
2018-03-16,24946.51
2018-03-19,24610.91
2018-03-20,24727.27
2018-03-21,24682.31
2018-03-22,23957.89
2018-03-23,23533.20
2018-03-26,24202.60
2018-03-27,23857.71
2018-03-28,23848.42
2018-03-29,24103.11
2018-03-30,.
2018-04-02,23644.19
2018-04-03,24033.36
2018-04-04,24264.30
2018-04-05,24505.22
2018-04-06,23932.76
2018-04-09,23979.10
2018-04-10,24408.00
2018-04-11,24189.45
2018-04-12,24483.05
2018-04-13,24360.14
2018-04-16,24573.04
2018-04-17,24786.63
2018-04-18,24748.07
2018-04-19,24664.89
2018-04-20,24462.94
2018-04-23,24448.69
2018-04-24,24024.13
2018-04-25,24083.83
2018-04-26,24322.34
2018-04-27,24311.19
2018-04-30,24163.15
2018-05-01,24099.05
2018-05-02,23924.98
2018-05-03,23930.15
2018-05-04,24262.51
2018-05-07,24357.32
2018-05-08,24360.21
2018-05-09,24542.54
2018-05-10,24739.53
2018-05-11,24831.17
2018-05-14,24899.41
2018-05-15,24706.41
2018-05-16,24768.93
2018-05-17,24713.98
2018-05-18,24715.09
2018-05-21,25013.29
2018-05-22,24834.41
2018-05-23,24886.81
2018-05-24,24811.76
2018-05-25,24753.09
2018-05-28,.
2018-05-29,24361.45
2018-05-30,24667.78
2018-05-31,24415.84
2018-06-01,24635.21
2018-06-04,24813.69
2018-06-05,24799.98
2018-06-06,25146.39
2018-06-07,25241.41
2018-06-08,25316.53
2018-06-11,25322.31
2018-06-12,25320.73
2018-06-13,25201.20
2018-06-14,25175.31
2018-06-15,25090.48
2018-06-18,24987.47
2018-06-19,24700.21
2018-06-20,24657.80
2018-06-21,24461.70
2018-06-22,24580.89
2018-06-25,24252.80
2018-06-26,24283.11
2018-06-27,24117.59
2018-06-28,24216.05
2018-06-29,24271.41
2018-07-02,24307.18
2018-07-03,24174.82
2018-07-04,.
2018-07-05,24356.74
2018-07-06,24456.48
2018-07-09,24776.59
2018-07-10,24919.66
2018-07-11,24700.45
2018-07-12,24924.89
2018-07-13,25019.41
2018-07-16,25064.36
2018-07-17,25119.89
2018-07-18,25199.29
2018-07-19,25064.50
2018-07-20,25058.12
2018-07-23,25044.29
2018-07-24,25241.94
2018-07-25,25414.10
2018-07-26,25527.07
2018-07-27,25451.06
2018-07-30,25306.83
2018-07-31,25415.19
2018-08-01,25333.82
2018-08-02,25326.16
